Campaign name,Age,Gender,Reach,Impressions,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),"Cost per 1,000 people reached",Purchases,Cost per purchase,Purchases Conversion Value
LIP GLOSS-Conversion-Lumos,All,All,957458,1760084,98285.25,55.84,1.61,28251,3.48,102.65,224,438.77,148749.28
,18-24,All,501047,859784,27083.03,31.5,1.05,9068,2.99,54.05,,,
,,female,501047,859784,27083.03,31.5,1.05,9068,2.99,54.05,,,
,25-34,All,354890,676373,51036.66,75.46,1.95,13222,3.86,143.81,,,
,,female,354890,676373,51036.66,75.46,1.95,13222,3.86,143.81,,,
,35-44,All,79205,174289,16309.36,93.58,2.75,4797,3.4,205.91,,,
,,female,79205,174289,16309.36,93.58,2.75,4797,3.4,205.91,,,
,45-54,All,12471,30123,2673.9,88.77,2.35,707,3.78,214.41,,,
,,female,12471,30123,2673.9,88.77,2.35,707,3.78,214.41,,,
,55-64,All,4814,9716,592.44,60.98,2.67,259,2.29,123.07,,,
,,female,4814,9716,592.44,60.98,2.67,259,2.29,123.07,,,
,65+,All,4814,9135,528.21,57.82,2.15,196,2.69,109.72,,,
,,female,4814,9135,528.21,57.82,2.15,196,2.69,109.72,,,
,13-17,All,219,664,61.65,92.84,0.3,2,30.82,281.5,,,
,,female,219,664,61.65,92.84,0.3,2,30.82,281.5,,,
Fab 10 Combo - Coversions-2.O- Lumos,All,All,576643,688435,38979.75,56.62,1.02,7034,5.54,67.6,98,397.75,90781.86
,25-34,All,278529,333805,19927.33,59.7,1,3337,5.97,71.54,,,
,,female,278529,333805,19927.33,59.7,1,3337,5.97,71.54,,,
,18-24,All,202369,235612,2964.1,12.58,0.71,1672,1.77,14.65,,,
,,female,202369,235612,2964.1,12.58,0.71,1672,1.77,14.65,,,
,35-44,All,85504,107666,13838.07,128.53,1.68,1812,7.64,161.84,,,
,,female,85504,107666,13838.07,128.53,1.68,1812,7.64,161.84,,,
,45-54,All,8320,9079,1816.37,200.06,1.83,166,10.94,218.31,,,
,,female,8320,9079,1816.37,200.06,1.83,166,10.94,218.31,,,
,65+,All,1024,1207,140.04,116.02,1.33,16,8.75,136.76,,,
,,female,1024,1207,140.04,116.02,1.33,16,8.75,136.76,,,
,55-64,All,896,959,290.19,302.6,3.13,30,9.67,323.87,,,
,,female,896,959,290.19,302.6,3.13,30,9.67,323.87,,,
,13-17,All,,107,3.65,34.11,0.93,1,3.65,,,,
,,female,,107,3.65,34.11,0.93,1,3.65,,,,
FAB FACE-COMB0-NEW CAMPAIGN- Lumos(RULE),All,All,361092,459230,72073.36,156.94,1.74,7973,9.04,199.6,139,518.51,119969.37
,25-34,All,169925,220636,29934.44,135.67,1.71,3766,7.95,176.16,,,
,,female,169925,220636,29934.44,135.67,1.71,3766,7.95,176.16,,,
,35-44,All,81518,109166,26947.77,246.85,2.26,2462,10.95,330.57,,,
,,female,81518,109166,26947.77,246.85,2.26,2462,10.95,330.57,,,
,18-24,All,87131,95580,4281.56,44.8,0.86,822,5.21,49.14,,,
,,female,87131,95580,4281.56,44.8,0.86,822,5.21,49.14,,,
,45-54,All,17605,24969,8229.55,329.59,2.74,685,12.01,467.46,,,
,,female,17605,24969,8229.55,329.59,2.74,685,12.01,467.46,,,
,55-64,All,3381,5161,2027.81,392.91,2.93,151,13.43,599.77,,,
,,female,3381,5161,2027.81,392.91,2.93,151,13.43,599.77,,,
,65+,All,1531,3678,650.33,176.81,2.37,87,7.48,424.77,,,
,,female,1531,3678,650.33,176.81,2.37,87,7.48,424.77,,,
,13-17,All,,40,1.9,47.49,,,,,,,
,,female,,40,1.9,47.49,,,,,,,
LIP GLOSS COMBO Conversions-Lumos,All,All,160608,204649,18661.51,91.19,1.2,2455,7.6,116.19,49,380.85,33413.76
,25-34,All,73792,97864,11012.1,112.52,1.48,1445,7.62,149.23,,,
,,female,73792,97864,11012.1,112.52,1.48,1445,7.62,149.23,,,
,18-24,All,71904,87235,3361.67,38.54,0.67,586,5.74,46.75,,,
,,female,71904,87235,3361.67,38.54,0.67,586,5.74,46.75,,,
,35-44,All,12896,17061,3735.22,218.93,2.16,369,10.12,289.64,,,
,,female,12896,17061,3735.22,218.93,2.16,369,10.12,289.64,,,
,45-54,All,1504,1833,436.15,237.94,2.51,46,9.48,289.99,,,
,,female,1504,1833,436.15,237.94,2.51,46,9.48,289.99,,,
,55-64,All,256,309,67.55,218.61,1.62,5,13.51,263.87,,,
,,female,256,309,67.55,218.61,1.62,5,13.51,263.87,,,
,65+,All,192,282,34.75,123.23,1.42,4,8.69,180.99,,,
,,female,192,282,34.75,123.23,1.42,4,8.69,180.99,,,
,13-17,All,64,65,14.07,216.46,,,,219.84,,,
,,female,64,65,14.07,216.46,,,,219.84,,,
Lip Gloss Conversions-2.O- Lumos,All,All,90014,111690,4988.34,44.66,2.26,2522,1.98,55.42,13,383.72,7552.61
,18-24,All,37167,45759,577.76,12.63,2.12,972,0.59,15.55,,,
,,female,37167,45759,577.76,12.63,2.12,972,0.59,15.55,,,
,25-34,All,36799,44652,2199.63,49.26,2.25,1004,2.19,59.77,,,
,,female,36799,44652,2199.63,49.26,2.25,1004,2.19,59.77,,,
,35-44,All,15344,20195,2074.71,102.73,2.56,517,4.01,135.21,,,
,,female,15344,20195,2074.71,102.73,2.56,517,4.01,135.21,,,
,45-54,All,688,1053,133.22,126.51,2.66,28,4.76,193.63,,,
,,female,688,1053,133.22,126.51,2.66,28,4.76,193.63,,,
,13-17,All,16,31,3.02,97.42,3.23,1,3.02,188.75,,,
,,female,16,31,3.02,97.42,3.23,1,3.02,188.75,,,
LIP GLOSS COMBO- DCO- Lumos,All,All,63843,84283,7140.46,84.72,1.34,1133,6.3,111.84,10,714.05,6235.96
,25-34,All,32990,43415,4164.17,95.92,1.54,667,6.24,126.23,,,
,,female,32990,43415,4164.17,95.92,1.54,667,6.24,126.23,,,
,18-24,All,24338,31863,1421.14,44.6,0.94,300,4.74,58.39,,,
,,female,24338,31863,1421.14,44.6,0.94,300,4.74,58.39,,,
,35-44,All,6502,8966,1543.77,172.18,1.85,166,9.3,237.43,,,
,,female,6502,8966,1543.77,172.18,1.85,166,9.3,237.43,,,
,45-54,All,13,26,10.62,408.48,,,,816.96,,,
,,female,13,26,10.62,408.48,,,,816.96,,,
,13-17,All,,13,0.76,58.26,,,,,,,
,,female,,13,0.76,58.26,,,,,,,
CHECK MATTE Conversion-Lumos,All,All,49200,50721,3478.41,68.58,1.07,545,6.38,70.7,4,869.6,2963.1
,18-24,All,25952,26579,1002.79,37.73,0.9,238,4.21,38.64,,,
,,female,25952,26579,1002.79,37.73,0.9,238,4.21,38.64,,,
,25-34,All,20368,21385,2001.6,93.6,1.18,253,7.91,98.27,,,
,,female,20368,21385,2001.6,93.6,1.18,253,7.91,98.27,,,
,35-44,All,2419,2419,415.9,171.93,1.98,48,8.66,171.93,,,
,,female,2419,2419,415.9,171.93,1.98,48,8.66,171.93,,,
,45-54,All,214,214,44.43,207.62,0.93,2,22.22,207.62,,,
,,female,214,214,44.43,207.62,0.93,2,22.22,207.62,,,
,65+,All,80,86,8.26,96.05,4.65,4,2.07,103.25,,,
,,female,80,86,8.26,96.05,4.65,4,2.07,103.25,,,
,55-64,All,35,35,5.36,153.14,,,,153.14,,,
,,female,35,35,5.36,153.14,,,,153.14,,,
,13-17,All,,3,0.07,23.33,,,,,,,
,,female,,3,0.07,23.33,,,,,,,
FAB FACE Nude-NEW CAMPAIGN- Lumos,All,All,10112,10450,1277.35,122.23,1.01,106,12.05,126.32,2,638.68,1598
,25-34,All,5290,5539,685.25,123.71,1.07,59,11.61,129.54,,,
,,female,5290,5539,685.25,123.71,1.07,59,11.61,129.54,,,
,18-24,All,3438,3470,173.93,50.12,0.52,18,9.66,50.59,,,
,,female,3438,3470,173.93,50.12,0.52,18,9.66,50.59,,,
,35-44,All,1352,1399,400.28,286.12,1.86,26,15.4,296.06,,,
,,female,1352,1399,400.28,286.12,1.86,26,15.4,296.06,,,
,45-54,All,30,41,17.88,436.09,7.32,3,5.96,596,,,
,,female,30,41,17.88,436.09,7.32,3,5.96,596,,,
,13-17,All,1,1,0.01,10,,,,10,,,
,,female,1,1,0.01,10,,,,10,,,
,,,1917001,3369542,244884.43,72.67587999,1.48444507,50019,4.89582819,127.7435067,539,454.331039,411263.94
